Traffic_registration_point,Name,Road_reference,From,To,From_Date,From_Time,To_Date,To_Time,Year,Month,Day_of_Week,Vehicle_Type,Count
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,649
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,4398
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,4979
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020-12-31,23:00:00,2021-01-31,23:00:00,2020,12,Thursday,Light_Vehicles,9378
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,4773
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,4835
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,772
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,4839
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,5542
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021-01-31,23:00:00,2021-02-28,23:00:00,2021,1,Sunday,Light_Vehicles,10381
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-02-28 23:00:00,2021-03-31 22:00:00,2021-02-28,23:00:00,2021-03-31,22:00:00,2021,2,Sunday,Light_Vehicles,4708
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-02-28 23:00:00,2021-03-31 22:00:00,2021-02-28,23:00:00,2021-03-31,22:00:00,2021,2,Sunday,Light_Vehicles,4844
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-02-28 23:00:00,2021-03-31 22:00:00,2021-02-28,23:00:00,2021-03-31,22:00:00,2021,2,Sunday,Light_Vehicles,750
