Traffic_registration_point,Name,Road_reference,From,To,Year,Month,Traffic_volume,Confidence_interval_start,Confidence_interval_end,Coverage (%),Total_days,Included_days,Invalid_days,Invalid_length,Length_quality_grade (%),Lane,under_5_6m,over_5_6m,5_6m_to_7_6m,7_6m_to_12_5m,12_5m_to_16_0m,over_16_0m,16_0m_to_24_0m,over_24_0m,Hour,From_Date,From_Time,To_Date,To_Time,Day_of_Week,Light_Vehicles,Heavy_Vehicles,Traffic_Volume_Check,Traffic_Volume_Difference,Days_Check,Traffic_Volume_Outlier
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,6446,6446,6446,100.0,31,31,0,36,99.4,Totalt i retning Solli Plass,5677,734,208,91,8,427,426,1,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,5677,1895,7572,-1126,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,7598,7598,7598,100.0,31,31,0,345,95.5,Totalt i retning Skøyen,6483,770,183,104,30,454,448,6,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,6483,1995,8478,-880,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-09-30 22:00:00,2020-10-31 23:00:00,2020,9,14043,14043,14043,100.0,31,31,0,380,97.3,Totalt,12160,1504,391,195,37,880,873,7,22,2020-09-30,22:00:00,2020-10-31,23:00:00,Wednesday,12160,3887,16047,-2004,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,5485,5485,5485,100.0,30,30,0,272,95.0,1,4798,415,146,95,25,150,146,4,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,4798,981,5779,-294,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,5758,5758,5758,100.0,30,30,0,25,99.6,2,5009,724,201,86,8,429,428,1,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,5009,1877,6886,-1128,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,1266,1266,1266,100.0,30,30,0,8,99.4,3,905,353,34,15,4,300,299,1,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,905,1006,1911,-645,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,5774,5774,5774,100.0,30,30,0,28,99.5,Totalt i retning Solli Plass,5015,731,202,89,9,431,430,1,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,5015,1893,6908,-1134,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,6735,6735,6735,100.0,30,30,0,277,95.9,Totalt i retning Skøyen,5697,761,179,106,27,449,444,5,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,5697,1971,7668,-933,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-10-31 23:00:00,2020-11-30 23:00:00,2020,10,12509,12509,12509,100.0,30,30,0,305,97.6,Totalt,10712,1492,381,196,37,879,873,6,23,2020-10-31,23:00:00,2020-11-30,23:00:00,Saturday,10712,3864,14576,-2067,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,5286,5286,5286,100.0,31,31,0,284,94.6,1,4676,326,124,73,23,107,103,4,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,4676,760,5436,-150,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,5511,5511,5511,100.0,31,31,0,46,99.2,2,4812,653,161,68,8,416,414,2,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,4812,1722,6534,-1023,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,1148,1148,1148,100.0,31,31,0,9,99.2,3,787,352,31,12,2,307,306,1,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,787,1011,1798,-650,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,5521,5521,5521,100.0,31,31,0,47,99.1,Totalt i retning Solli Plass,4816,657,162,70,8,417,415,2,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,4816,1731,6547,-1026,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,6424,6424,6424,100.0,31,31,0,291,95.5,Totalt i retning Skøyen,5459,674,154,83,25,412,407,5,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,5459,1760,7219,-795,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-11-30 23:00:00,2020-12-31 23:00:00,2020,11,11945,11945,11945,100.0,31,31,0,338,97.2,Totalt,10275,1332,316,154,33,830,823,7,23,2020-11-30,23:00:00,2020-12-31,23:00:00,Monday,10275,3495,13770,-1825,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,4885,4885,4885,100.0,31,31,0,232,95.3,1,4335,318,113,72,22,111,108,3,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,4335,747,5082,-197,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,5056,5056,5056,100.0,31,31,0,26,99.5,2,4394,636,149,58,7,422,421,1,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,4394,1694,6088,-1032,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,998,998,998,100.0,31,31,0,5,99.5,3,649,344,26,8,2,308,307,1,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,649,996,1645,-647,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,5067,5067,5067,100.0,31,31,0,28,99.4,Totalt i retning Solli Plass,4398,641,150,61,8,423,422,1,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,4398,1706,6104,-1037,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,5872,5872,5872,100.0,31,31,0,235,96.0,Totalt i retning Skøyen,4979,657,139,77,23,418,414,4,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,4979,1732,6711,-839,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2020-12-31 23:00:00,2021-01-31 23:00:00,2020,12,10939,10939,10939,100.0,31,31,0,263,97.6,Totalt,9378,1298,288,138,31,842,837,5,23,2020-12-31,23:00:00,2021-01-31,23:00:00,Thursday,9378,3439,12817,-1878,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021,1,5423,5423,5423,100.0,28,28,0,301,94.4,1,4773,350,133,78,30,109,105,4,23,2021-01-31,23:00:00,2021-02-28,23:00:00,Sunday,4773,809,5582,-159,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021,1,5556,5556,5556,100.0,28,28,0,33,99.4,2,4835,688,180,67,11,429,428,1,23,2021-01-31,23:00:00,2021-02-28,23:00:00,Sunday,4835,1804,6639,-1083,0,False
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021,1,1146,1146,1146,100.0,28,28,0,8,99.3,3,772,365,33,11,2,319,318,1,23,2021-01-31,23:00:00,2021-02-28,23:00:00,Sunday,772,1049,1821,-675,0,True
71608V603756,Bygdøy alle,KV10967 S1D1 m1314,2021-01-31 23:00:00,2021-02-28 23:00:00,2021,1,5566,5566,5566,100.0,28,28,0,35,99.4,Totalt i retning Solli Plass,4839,692,181,69,12,430,429,1,23,2021-01-31,23:00:00,2021-02-28,23:00:00,Sunday,4839,1814,6653,-1087,0,False
